date	close
31-Dec-13	198.08
28-Dec-13	199.83
27-Dec-13	198.57
26-Dec-13	198.95
24-Dec-13	198.80
21-Dec-13	193.91
20-Dec-13	187.21
19-Dec-13	183.12
18-Dec-13	182.98
17-Dec-13	184.40
14-Dec-13	190.39
13-Dec-13	191.83
12-Dec-13	190.86
11-Dec-13	188.54
10-Dec-13	194.21
7-Dec-13	194.30
6-Dec-13	189.95
5-Dec-13	185.50
4-Dec-13	179.81
3-Dec-13	178.86
30-Nov-13	182.22
29-Nov-13	184.29
28-Nov-13	180.22
27-Nov-13	174.81
26-Nov-13	172.54
23-Nov-13	171.54
21-Nov-13	168.46
20-Nov-13	168.85
19-Nov-13	163.95
16-Nov-13	166.39
15-Nov-13	164.30
14-Nov-13	166.11
13-Nov-13	169.96
12-Nov-13	153.76
9-Nov-13	165.37
8-Nov-13	175.47
7-Nov-13	186.30
6-Nov-13	191.79
5-Nov-13	186.18
2-Nov-13	187.87
1-Nov-13	187.44
31-Oct-13	189.95
30-Oct-13	187.00
29-Oct-13	185.09
26-Oct-13	184.70
25-Oct-13	182.78
24-Oct-13	185.93
23-Oct-13	186.16
22-Oct-13	174.36
19-Oct-13	170.42
18-Oct-13	173.50
17-Oct-13	172.75
16-Oct-13	169.58
15-Oct-13	166.98
12-Oct-13	167.25
11-Oct-13	162.23
10-Oct-13	166.79
9-Oct-13	167.86
8-Oct-13	167.91
5-Oct-13	161.45
4-Oct-13	156.24
3-Oct-13	157.92
2-Oct-13	158.45
1-Oct-13	156.34
28-Sep-13	153.47
27-Sep-13	154.50
26-Sep-13	152.77
25-Sep-13	153.18
24-Sep-13	148.28
21-Sep-13	144.15
20-Sep-13	140.31
19-Sep-13	140.77
18-Sep-13	140.92
17-Sep-13	138.41
14-Sep-13	138.81
13-Sep-13	137.20
12-Sep-13	136.85
11-Sep-13	135.49
10-Sep-13	136.71
7-Sep-13	131.77
6-Sep-13	135.01
5-Sep-13	136.76
4-Sep-13	144.16
31-Aug-13	138.48
30-Aug-13	136.25
29-Aug-13	134.08
28-Aug-13	126.82
27-Aug-13	132.25
24-Aug-13	135.30
23-Aug-13	131.07
22-Aug-13	132.51
21-Aug-13	127.57
20-Aug-13	122.22
17-Aug-13	122.06
16-Aug-13	117.05
15-Aug-13	119.90
14-Aug-13	124.03
13-Aug-13	127.79
10-Aug-13	125.00
9-Aug-13	126.39
8-Aug-13	134.01
7-Aug-13	135.03
6-Aug-13	135.25
3-Aug-13	131.85
2-Aug-13	136.49
1-Aug-13	135.00
31-Jul-13	131.76
30-Jul-13	141.43
27-Jul-13	143.85
26-Jul-13	146.00
25-Jul-13	137.26
24-Jul-13	134.89
23-Jul-13	143.70
20-Jul-13	143.75
19-Jul-13	140.00
18-Jul-13	138.12
17-Jul-13	138.91
16-Jul-13	138.10
13-Jul-13	137.73
12-Jul-13	134.07
11-Jul-13	132.39
10-Jul-13	132.35
9-Jul-13	130.33
6-Jul-13	132.30
5-Jul-13	132.75
3-Jul-13	127.17
2-Jul-13	121.26
29-Jun-13	122.04
28-Jun-13	120.56
27-Jun-13	121.89
26-Jun-13	119.65
25-Jun-13	122.34
22-Jun-13	123.00
21-Jun-13	123.90
20-Jun-13	121.55
19-Jun-13	123.66
18-Jun-13	125.09
15-Jun-13	120.50
14-Jun-13	118.75
13-Jun-13	117.50
12-Jun-13	120.38
11-Jun-13	120.19
8-Jun-13	124.49
7-Jun-13	124.07
6-Jun-13	123.64
5-Jun-13	122.67
4-Jun-13	121.33
1-Jun-13	118.40
31-May-13	121.19
30-May-13	118.77
29-May-13	114.35
25-May-13	113.62
24-May-13	110.69
23-May-13	112.89
22-May-13	113.54
21-May-13	111.98
18-May-13	110.02
17-May-13	109.44
16-May-13	107.34
15-May-13	107.52
14-May-13	109.36
11-May-13	108.74
10-May-13	107.34
9-May-13	106.88
8-May-13	105.06
7-May-13	103.92
4-May-13	100.81
3-May-13	100.40
2-May-13	100.39
1-May-13	99.47
30-Apr-13	99.80
27-Apr-13	99.92
26-Apr-13	98.84
25-Apr-13	95.35
24-Apr-13	93.24
31-Dec-12	85.35
30-Dec-12	86.29
29-Dec-12	86.61
26-Dec-12	85.81
25-Dec-12	85.04
24-Dec-12	85.04
23-Dec-12	86.38
22-Dec-12	85.74
19-Dec-12	90.00
18-Dec-12	89.43
17-Dec-12	89.16
16-Dec-12	95.43
15-Dec-12	94.75
12-Dec-12	98.27
11-Dec-12	95.00
10-Dec-12	98.21
9-Dec-12	100.06
8-Dec-12	99.72
5-Dec-12	94.00
4-Dec-12	91.41
3-Dec-12	95.90
2-Dec-12	92.47
1-Dec-12	88.93
28-Nov-12	92.67
27-Nov-12	95.00
26-Nov-12	95.00
25-Nov-12	90.80
24-Nov-12	92.95
21-Nov-12	82.58
20-Nov-12	80.49
19-Nov-12	86.29
18-Nov-12	89.91
17-Nov-12	88.14
14-Nov-12	90.24
13-Nov-12	96.44
12-Nov-12	90.12
11-Nov-12	94.77
10-Nov-12	95.88
7-Nov-12	98.24
6-Nov-12	99.10
5-Nov-12	103.30
4-Nov-12	110.99
3-Nov-12	106.96
31-Oct-12	107.59
30-Oct-12	111.04
29-Oct-12	104.55
28-Oct-12	99.91
27-Oct-12	92.09
24-Oct-12	96.38
23-Oct-12	98.23
22-Oct-12	96.87
21-Oct-12	91.49
20-Oct-12	98.44
17-Oct-12	97.40
16-Oct-12	101.89
15-Oct-12	97.95
14-Oct-12	104.08
13-Oct-12	110.26
10-Oct-12	96.80
9-Oct-12	88.74
8-Oct-12	89.79
7-Oct-12	89.16
6-Oct-12	98.14
3-Oct-12	97.07
2-Oct-12	100.10
1-Oct-12	109.12
30-Sep-12	113.66
29-Sep-12	105.26
26-Sep-12	128.24
25-Sep-12	131.93
24-Sep-12	128.71
23-Sep-12	126.84
22-Sep-12	131.05
19-Sep-12	140.91
18-Sep-12	134.09
17-Sep-12	127.83
16-Sep-12	139.88
15-Sep-12	140.36
12-Sep-12	148.94
11-Sep-12	152.65
10-Sep-12	151.61
9-Sep-12	151.68
8-Sep-12	157.92
5-Sep-12	160.18
4-Sep-12	161.22
3-Sep-12	166.96
2-Sep-12	166.19
29-Aug-12	169.53
28-Aug-12	173.74
27-Aug-12	174.67
26-Aug-12	173.64
25-Aug-12	172.55
22-Aug-12	176.79
21-Aug-12	174.29
20-Aug-12	175.84
19-Aug-12	173.53
18-Aug-12	175.39
15-Aug-12	175.74
14-Aug-12	179.32
13-Aug-12	179.30
12-Aug-12	176.73
11-Aug-12	173.56
8-Aug-12	169.55
7-Aug-12	163.57
6-Aug-12	164.19
5-Aug-12	160.64
4-Aug-12	153.23
1-Aug-12	156.66
31-Jul-12	158.95
30-Jul-12	159.88
29-Jul-12	157.08
28-Jul-12	154.40
25-Jul-12	162.12
24-Jul-12	159.03
23-Jul-12	166.26
22-Jul-12	162.02
21-Jul-12	166.29
18-Jul-12	165.15
17-Jul-12	171.81
16-Jul-12	172.81
15-Jul-12	169.64
14-Jul-12	173.88
11-Jul-12	172.58
10-Jul-12	176.63
9-Jul-12	174.25
8-Jul-12	179.55
7-Jul-12	175.16
3-Jul-12	170.12
2-Jul-12	168.18
1-Jul-12	174.68
30-Jun-12	167.44
27-Jun-12	170.09
26-Jun-12	168.26
25-Jun-12	177.39
24-Jun-12	173.25
23-Jun-12	173.16
20-Jun-12	175.27
19-Jun-12	180.90
18-Jun-12	178.75
17-Jun-12	181.43
16-Jun-12	176.84
13-Jun-12	172.37
12-Jun-12	173.26
11-Jun-12	180.81
10-Jun-12	185.64
9-Jun-12	181.61
6-Jun-12	185.64
5-Jun-12	189.43
4-Jun-12	185.19
3-Jun-12	185.37
2-Jun-12	186.10
30-May-12	188.75
29-May-12	186.69
28-May-12	187.01
27-May-12	186.43
23-May-12	181.17
22-May-12	177.05
21-May-12	178.19
20-May-12	185.90
19-May-12	183.60
16-May-12	187.62
15-May-12	189.73
14-May-12	186.26
13-May-12	189.96
12-May-12	188.16
9-May-12	183.45
8-May-12	185.06
7-May-12	182.59
6-May-12	186.66
5-May-12	184.73
2-May-12	180.94
1-May-12	180.00
30-Apr-12	173.95
29-Apr-12	175.05
28-Apr-12	172.24
25-Apr-12	169.73
24-Apr-12	168.94
23-Apr-12	162.89
22-Apr-12	160.20
21-Apr-12	168.16
18-Apr-12	161.04
17-Apr-12	154.49
16-Apr-12	153.70
15-Apr-12	148.38
14-Apr-12	147.78
11-Apr-12	147.14
10-Apr-12	154.55
9-Apr-12	151.44
8-Apr-12	152.84
7-Apr-12	155.89
4-Apr-12	153.08
3-Apr-12	151.61
2-Apr-12	147.49
1-Apr-12	149.53
31-Mar-12	143.50
28-Mar-12	143.01
27-Mar-12	140.25
26-Mar-12	145.06
25-Mar-12	140.98
24-Mar-12	139.53
20-Mar-12	133.27
19-Mar-12	129.67
18-Mar-12	132.82
17-Mar-12	126.73
14-Mar-12	126.61
13-Mar-12	127.94
12-Mar-12	126.03
11-Mar-12	127.35
10-Mar-12	119.69
7-Mar-12	122.25
6-Mar-12	120.93
5-Mar-12	124.49
4-Mar-12	124.62
3-Mar-12	121.73
29-Feb-12	125.02
28-Feb-12	129.91
27-Feb-12	122.96
26-Feb-12	119.15
25-Feb-12	119.74
22-Feb-12	119.46
21-Feb-12	121.54
20-Feb-12	123.82
19-Feb-12	122.18
15-Feb-12	124.63
14-Feb-12	127.46
13-Feb-12	129.40
12-Feb-12	124.86
11-Feb-12	129.45
8-Feb-12	125.48
7-Feb-12	121.24
6-Feb-12	122.00
5-Feb-12	129.36
4-Feb-12	131.65
1-Feb-12	133.75
31-Jan-12	135.36
30-Jan-12	132.18
29-Jan-12	131.54
28-Jan-12	130.01
25-Jan-12	130.01
24-Jan-12	135.60
23-Jan-12	139.07
22-Jan-12	155.64
18-Jan-12	161.36
17-Jan-12	160.89
16-Jan-12	159.64
15-Jan-12	169.04
14-Jan-12	178.78
11-Jan-12	172.69
10-Jan-12	178.02
9-Jan-12	179.40
8-Jan-12	171.25
7-Jan-12	177.64
4-Jan-12	180.05
3-Jan-12	194.93
2-Jan-12	194.84
